"Profile","Respondent_1","Respondent_2","Respondent_3","Respondent_4","Respondent_5","Respondent_6","Respondent_7","Respondent_8","Respondent_9","Respondent_10","Respondent_11","Respondent_12","Respondent_13","Respondent_14","Respondent_15","Respondent_16","Respondent_17","Respondent_18","Respondent_19","Respondent_20","Respondent_21","Respondent_22","Respondent_23","Respondent_24","Respondent_25","Respondent_26","Respondent_27","Respondent_28","Respondent_29","Respondent_30","Respondent_31","Respondent_32","Respondent_33","Respondent_34","Respondent_35","Respondent_36","Respondent_37","Respondent_38","Respondent_39","Respondent_40","Respondent_41","Respondent_42","Respondent_43","Respondent_44","Respondent_45","Respondent_46","Respondent_47","Respondent_48","Respondent_49","Respondent_50","Respondent_51","Respondent_52","Respondent_53","Respondent_54","Respondent_55","Respondent_56","Respondent_57","Respondent_58","Respondent_59","Respondent_60","Respondent_61","Respondent_62","Respondent_63","Respondent_64","Respondent_65","Respondent_66","Respondent_67","Respondent_68","Respondent_69","Respondent_70","Respondent_71","Respondent_72","Respondent_73","Respondent_74","Respondent_75","Respondent_76","Respondent_77","Respondent_78","Respondent_79","Respondent_80","Respondent_81","Respondent_82","Respondent_83","Respondent_84","Respondent_85","Respondent_86","Respondent_87","Respondent_88","Respondent_89","Respondent_90","Respondent_91","Respondent_92","Respondent_93","Respondent_94","Respondent_95","Respondent_96","Respondent_97","Respondent_98","Respondent_99","Respondent_100"
1,30,31,41,27,25,22,30,54,38,30,30,18,22,28,50,32,31,17,17,28,5,16,31,30,32,29,38,37,18,44,36,42,26,35,10,15,23,52,8,25,25,17,7,41,41,36,33,42,16,19,24,41,31,39,43,34,21,20,29,32,27,28,33,21,35,33,39,46,52,26,32,26,40,26,24,51,34,25,39,29,34,26,14,32,23,49,28,23,35,28,29,39,35,28,41,13,31,16,16,25
2,39,36,18,28,43,38,49,22,49,12,37,41,62,13,32,39,10,58,40,51,41,32,43,21,28,32,36,40,17,39,19,29,59,26,45,50,46,47,53,54,37,39,54,24,33,34,32,23,43,29,20,22,36,35,41,46,51,34,46,47,29,56,39,51,48,34,26,30,45,29,46,38,23,60,58,30,36,59,52,51,40,33,47,43,45,26,37,47,31,31,35,39,31,45,27,59,24,53,45,49
3,16,3,8,29,41,26,23,13,26,15,41,20,35,1,20,8,13,24,47,23,43,11,8,8,15,9,15,29,7,3,21,12,32,13,34,44,45,1,29,18,4,24,39,10,1,11,6,1,28,10,14,1,8,4,8,17,24,31,42,8,16,27,32,22,39,5,23,19,1,5,11,33,1,35,30,17,25,37,37,24,6,25,28,30,38,12,23,31,3,35,5,35,10,41,1,34,4,12,46,24
4,49,51,61,51,52,72,27,73,52,64,63,35,48,53,77,47,60,27,55,51,54,55,73,61,57,45,68,60,69,40,73,58,48,42,54,33,61,61,45,51,34,53,63,76,45,58,42,32,55,61,60,59,42,38,48,64,49,45,39,57,46,48,47,58,48,63,55,67,57,42,37,68,63,51,48,70,37,42,49,36,67,66,44,42,58,32,44,47,68,58,41,48,67,48,68,54,43,43,38,45
5,42,33,39,28,16,24,37,51,18,81,22,20,24,38,60,30,48,3,37,38,24,41,50,52,52,16,45,8,62,33,57,13,16,20,17,23,29,31,17,25,29,27,22,66,42,63,15,32,22,37,44,46,24,33,43,24,21,10,26,55,30,12,26,30,5,58,23,55,63,26,22,24,32,22,14,59,14,10,2,23,50,11,21,17,17,17,32,16,57,16,25,28,53,19,36,19,35,20,28,27
6,75,74,80,93,73,77,77,74,76,84,65,83,77,85,90,81,64,81,60,74,68,69,74,64,80,100,87,78,86,97,70,85,67,75,91,45,69,83,54,94,83,71,67,85,55,75,91,75,91,56,79,84,90,100,77,74,86,79,77,92,87,69,77,85,93,75,92,90,73,70,84,77,68,78,78,77,79,75,86,87,89,71,86,81,99,76,76,85,80,82,65,93,79,76,79,73,66,90,46,76
7,61,60,48,52,51,49,49,47,68,58,49,55,60,58,64,54,51,56,50,60,51,44,53,56,52,52,66,47,35,63,51,47,38,63,48,56,50,70,54,44,46,49,42,65,60,41,48,56,64,46,50,46,54,55,61,45,49,53,37,44,49,28,41,40,36,64,45,60,64,52,56,47,49,45,33,56,55,32,61,47,69,50,59,28,79,41,45,48,44,70,59,67,52,28,47,39,50,71,59,53
8,47,52,43,48,44,73,49,48,56,40,69,55,58,29,40,65,50,34,58,59,51,37,29,51,43,37,30,53,48,48,16,44,60,44,62,60,46,50,75,54,38,41,68,28,49,46,44,45,59,40,54,12,41,34,54,54,59,47,51,41,41,49,45,50,72,39,45,37,34,44,56,43,46,54,51,42,50,42,69,48,40,57,53,49,54,45,51,55,45,53,40,56,53,79,54,51,44,36,68,48
9,31,32,23,26,32,31,47,37,44,15,35,45,35,18,30,41,30,31,46,46,34,23,26,32,24,25,21,29,27,13,12,23,40,28,47,42,31,42,44,54,28,50,55,22,31,32,33,28,39,37,28,28,33,26,28,32,37,38,43,30,31,37,38,52,24,27,27,25,29,20,28,40,28,59,30,16,34,56,35,46,28,35,42,42,41,11,33,40,27,37,19,45,15,46,19,33,28,44,22,28
10,20,1,24,1,19,27,33,23,44,8,20,30,37,16,15,27,23,33,1,36,32,6,11,21,30,20,13,11,7,21,3,22,24,26,33,27,20,17,20,14,4,28,33,34,9,25,28,6,40,23,16,1,30,22,29,26,16,32,9,30,13,32,14,10,18,14,22,25,17,14,15,32,20,26,34,11,33,23,29,21,19,26,41,11,30,7,28,48,8,42,3,52,27,32,13,29,28,23,8,44
11,53,65,79,70,71,43,77,90,69,94,55,63,84,94,100,63,86,62,51,73,53,85,77,94,97,62,81,48,91,52,79,52,50,75,52,63,54,62,73,43,62,60,51,87,69,84,51,60,72,82,94,90,39,52,46,68,46,62,74,87,52,48,61,71,53,95,66,98,100,76,45,48,78,59,71,93,74,55,65,54,100,47,83,63,77,60,75,51,77,57,71,84,80,57,100,47,51,84,63,60
12,25,41,48,23,34,42,39,47,57,59,35,30,51,54,68,17,53,17,24,36,49,53,52,62,76,9,57,44,48,24,62,36,34,32,42,16,34,12,34,44,24,41,34,55,31,50,16,23,36,53,50,60,10,19,25,58,49,27,38,66,10,38,39,41,40,69,27,60,53,26,33,39,56,23,30,56,31,40,49,44,61,43,46,29,22,8,39,37,55,35,16,40,47,42,39,44,18,28,6,31
13,64,73,69,72,62,56,58,75,61,76,41,54,55,75,81,80,54,63,55,64,60,74,76,68,66,51,69,39,83,77,68,83,61,63,53,33,58,85,57,51,76,62,68,75,71,67,73,75,60,56,70,79,69,86,85,52,55,56,63,73,97,54,72,70,46,72,70,73,60,66,83,53,68,50,47,77,55,46,51,65,68,48,66,47,61,69,66,60,72,57,71,58,65,71,84,48,73,77,40,58
14,50,45,49,51,52,58,55,44,67,38,55,67,61,47,55,50,28,53,52,58,64,40,51,43,56,44,58,65,49,49,45,34,62,47,59,50,41,46,50,61,46,63,54,49,55,59,40,39,57,42,40,46,58,67,57,59,59,47,65,40,34,55,52,56,52,59,55,53,42,42,57,49,57,66,56,56,54,69,72,50,44,41,50,58,59,45,50,60,47,38,51,75,41,56,52,70,41,54,41,51
15,26,42,38,51,39,30,36,37,44,50,38,48,48,28,38,68,29,56,37,60,37,41,40,48,56,45,39,50,25,31,29,29,37,27,29,47,49,49,40,39,26,33,27,46,45,44,43,48,33,38,20,57,54,32,49,49,37,50,65,29,38,42,35,38,45,40,45,44,41,44,41,42,22,40,41,45,48,43,64,22,32,10,57,41,66,50,43,64,26,36,50,53,15,40,57,52,52,53,53,33
16,18,1,8,10,5,5,9,17,11,1,13,3,11,8,16,1,20,14,1,13,13,16,8,13,12,8,14,3,21,7,11,11,1,18,10,12,8,10,1,8,1,27,17,2,7,18,7,1,9,4,1,14,6,4,23,9,2,1,1,4,22,22,11,13,6,1,13,6,1,12,16,1,3,14,1,1,10,9,9,1,8,8,21,7,15,4,5,5,1,1,15,12,4,13,6,11,6,2,12,11
17,65,55,81,69,49,47,49,88,51,79,40,45,60,92,94,59,82,59,37,52,50,76,85,83,79,64,100,54,100,75,88,49,51,58,55,60,51,70,68,43,47,42,47,74,70,92,76,63,52,85,86,95,81,58,63,49,51,52,53,85,62,39,45,51,38,90,55,95,70,60,70,44,79,58,41,81,47,53,63,43,89,33,51,52,46,50,55,53,93,39,65,67,77,55,77,53,59,50,61,53
18,59,56,81,60,56,65,56,76,60,95,47,58,60,69,72,63,62,40,50,71,45,77,85,81,69,52,80,59,86,68,82,45,46,36,40,52,52,65,48,63,51,43,53,64,54,75,37,56,65,79,67,97,59,53,59,50,54,35,59,75,47,56,37,55,44,86,50,78,65,47,55,61,75,41,61,68,54,60,65,62,82,44,57,54,60,41,57,67,80,50,51,59,55,54,85,54,55,65,43,56
19,96,100,100,100,92,94,100,93,93,99,99,93,99,100,100,84,93,97,91,100,100,83,100,100,100,95,100,95,99,86,94,92,81,100,84,88,94,100,93,97,94,99,98,88,91,100,100,97,93,81,100,95,100,100,100,98,97,84,95,100,100,89,78,100,100,100,100,100,92,88,100,90,88,100,91,100,89,88,99,91,99,79,100,80,100,100,91,94,100,96,88,99,95,100,100,85,84,100,89,88
20,72,86,68,90,80,81,92,84,86,87,88,87,94,83,100,81,73,84,69,88,98,60,86,87,91,90,82,82,95,74,89,79,82,83,84,67,94,80,79,100,74,87,89,70,65,70,72,73,73,60,84,74,86,82,79,63,84,77,81,83,97,74,72,88,81,79,78,99,84,66,69,88,76,100,52,99,79,93,82,75,79,88,89,91,87,78,88,80,94,94,68,82,68,85,85,90,84,80,64,72
21,64,80,78,75,95,56,95,81,87,76,56,70,81,74,77,79,62,76,82,83,58,60,66,86,83,60,63,61,73,63,61,77,66,83,68,67,79,74,70,83,67,70,53,79,78,78,69,73,75,69,73,72,84,85,84,60,68,62,70,75,76,74,53,85,64,80,69,88,69,75,88,62,49,73,63,80,72,73,63,71,83,58,99,78,86,68,84,76,72,68,69,83,79,54,49,71,57,64,80,88
22,62,61,62,59,84,71,79,61,78,59,74,80,77,71,65,69,68,63,65,75,83,71,62,82,55,57,70,59,73,64,70,62,64,68,67,79,78,83,69,73,72,65,68,56,58,78,85,71,69,56,65,62,80,76,80,76,80,80,63,66,66,67,76,83,76,80,80,71,67,82,76,81,60,88,79,61,67,78,92,82,73,73,84,70,96,65,80,81,52,74,70,60,66,72,65,69,57,67,86,69
