"Profile","Number of Channels_100","Number of Channels_200","Number of Channels_300","Movie Channels_HBO","Movie Channels_HBO+ShowTime","DVR_SD_DVR","DVR_HD_DVR","Price_60","Price_90","Price_120","Price_150","Price_200","High-Speed Internet_20_Mbps","High-Speed Internet_60_Mbps","Phone Service_200_Mins","Phone Service_Unlimited"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
7,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
8,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
9,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
11,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
12,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
13,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
14,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
15,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
17,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
18,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
19,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
20,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
21,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
22,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
