"Profile","Number of Channels","Movie Channels","DVR","Price","High-Speed Internet","Phone Service"
1,"No TV","None","None","30","None","None"
2,"200","HBO+ShowTime","HD DVR","90","None","None"
3,"300","HBO+ShowTime","None","200","None","None"
4,"300","None","SD DVR","120","100 Mbps","None"
5,"No TV","HBO","None","150","100 Mbps","None"
6,"200","None","SD DVR","60","300 Mbps","None"
7,"100","HBO","HD DVR","200","300 Mbps","None"
8,"300","HBO+ShowTime","SD DVR","60","None","200 Mins"
9,"200","HBO","HD DVR","120","None","200 Mins"
10,"100","None","HD DVR","150","None","200 Mins"
11,"100","HBO+ShowTime","SD DVR","30","100 Mbps","200 Mins"
12,"200","None","None","200","100 Mbps","200 Mins"
13,"No TV","HBO","SD DVR","90","300 Mbps","200 Mins"
14,"200","HBO","SD DVR","30","None","Unlimited"
15,"100","HBO","None","60","None","Unlimited"
16,"No TV","None","SD DVR","200","None","Unlimited"
17,"No TV","HBO+ShowTime","HD DVR","60","100 Mbps","Unlimited"
18,"100","HBO","SD DVR","90","100 Mbps","Unlimited"
19,"300","HBO","HD DVR","30","300 Mbps","Unlimited"
20,"300","None","None","90","300 Mbps","Unlimited"
21,"100","HBO+ShowTime","None","120","300 Mbps","Unlimited"
22,"200","HBO+ShowTime","SD DVR","150","300 Mbps","Unlimited"
